CODE_BAR,PRIX,TYPE_PROMO,NUM_PRODUIT,REDUCTION
8000070200340,10.07,reduction,2,68.0
80135463,1.85,reduction,2,50.0
3046920010382,2.12,reduction,2,50.0
8013108699504,4.15,reduction,2,50.0
3045140015832,3.3,combinaison,3,100.0
5010106114414,26.75,iRemise,1,3.5
7613034932266,3.39,reduction,2,68.0
8000500223369,3.65,reduction,2,50.0
8000500269169,1.95,reduction,2,50.0
3259426042935,2.79,reduction,1,30.0
3165957058010,1.74,combinaison,3,100.0
3270190008262,6.99,reduction,2,30.0
3256540001077,5.55,economie,1,34.0
3276558257211,2.5,iRemise,2,4.0
3412290016192,3.35,reduction,1,30.0
3523680438224,1.59,reduction,1,20.0
7613036750011,1.79,combinaison,3,100.0
3023290165409,1.99,reduction,2,50.0
3476810000702,7.9,catalogue,1,0.0
3228021170039,1.75,combinaison,3,100.0
3523680345249,7.42,Remise,1,25.0
8000070059313,7.14,reduction,2,68.0
3023290165393,1.99,reduction,2,50.0
5413458017578,8.89,catalogue,1,0.0
3560070936526,7.5,catalogue,1,0.0
5053827156189,3.79,combinaison,3,100.0
3012992421005,17.02,economie,1,34.0
3452200002211,3.39,reduction,2,68.0
8000430171464,2.48,catalogue,1,0.0
3181232180559,5.59,reduction,2,50.0
5050083542411,5.55,combinaison,3,100.0
3228857000852,1.56,combinaison,3,100.0
3276551806492,5.58,catalogue,1,0.0
3000001037576,1.09,iRemise,2,1.8
3047100000193,28.49,economie,1,34.0
3276551075003,17.98,catalogue,1,0.0
3270190025566,2.39,economie,1,20.0
3124480191182,1.95,combinaison,3,100.0
7622201788162,3.29,combinaison,3,100.0
8000500290415,5.49,reduction,2,60.0
3046920022651,1.45,reduction,2,50.0
3596690764157,2.3,catalogue,1,0.0
3033610069508,12.25,catalogue,1,0.0
3000000111772,5.97,catalogue,1,0.0
3523680468986,7.89,catalogue,1,0.0
3000000127513,3.59,catalogue,1,0.0
3276557594409,6.5,economie,1,30.0
3265980790489,4.69,reduction,2,50.0
3265980154182,4.69,reduction,2,50.0
3265980790465,4.69,reduction,2,50.0
3181238976446,5.59,reduction,2,50.0
3181232180504,5.59,reduction,2,50.0
3181232180511,5.59,reduction,2,50.0
3276559975923,4.99,catalogue,1,0.0
3265980157930,6.89,reduction,2,50.0
3265980157923,6.89,reduction,2,50.0
3265980153710,6.89,reduction,2,50.0
3276559975534,7.18,catalogue,1,0.0
3523680266070,0.59,catalogue,1,0.0
3265980129623,4.69,reduction,2,50.0
3265980126714,9.99,economie,1,20.0
3276551122110,12.49,catalogue,1,0.0
3276551122066,11.99,catalogue,1,0.0
3276551017157,17.98,catalogue,1,0.0
3276551122042,11.99,catalogue,1,0.0
3276559976692,11.98,catalogue,1,0.0
3276559976845,7.98,catalogue,1,0.0
3276551343409,16.78,catalogue,1,0.0
3276551406838,13.99,catalogue,1,0.0
3265980153499,7.49,catalogue,1,0.0
3265980153246,7.49,catalogue,1,0.0
3265980125496,7.49,catalogue,1,0.0
3265980157947,6.89,reduction,2,50.0
3302740058981,2.75,reduction,2,68.0
3302747233022,2.75,reduction,2,68.0
3302740046674,2.75,reduction,2,68.0
3302748259021,2.75,reduction,2,68.0
3560071012489,1.85,reduction,2,30.0
3230890016752,2.6,combinaison,3,100.0
3230890736643,2.6,combinaison,3,100.0
3230890016806,2.6,combinaison,3,100.0
3230890392115,2.6,combinaison,3,100.0
3245412155543,1.59,reduction,2,30.0
3596690149046,2.3,catalogue,1,0.0
3571492510003,8.99,economie,1,30.0
3033610062486,12.25,catalogue,1,0.0
3302748260027,2.75,reduction,2,68.0
3760253241076,17.9,economie,1,30.0
